OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,GlobalID,SHAPE_Length,SHAPE_Area
5178,2019,CA,USF,SQF,5883618010602,J37 BALCH PARK ROAD,14,2019/06/10 00:00:00,2019/06/10 00:00:00,11,9.8988667,,,,{02E43F13-89CC-4A02-9E32-B32A90F32155},1291.97713538998,61727.4876852087
5179,2019,CA,USF,SQF,5823150010602,REVISED ICE BURN UNITS 1B,14,2019/03/30 00:00:00,2019/03/30 00:00:00,164,164.29617,,,,{149ED1EE-770B-4B6E-BFE8-9F44B71332A1},5655.72642292013,1011316.89904774
5180,2019,CA,USF,SQF,5823151010602,REVISED ICE BURN UNITS 2B,14,2019/03/30 00:00:00,2019/03/30 00:00:00,346,345.63214,,,,{3161B2E8-3653-46E0-B54E-C804ED9B0B20},9394.06813785426,2127419.00373785
5181,2019,CA,USF,SQF,6012755010602,GH_ALTA_SIERRA,14,2019/12/11 00:00:00,2019/12/11 00:00:00,50,74.495293,,,,{087AEEB9-CF57-4496-BB11-22754EE37929},5814.2926248167,458473.818790405
5182,2019,CA,USF,SQF,5823152010602,"REVISED ICE UNIT 1, 115 ACRES",14,2019/03/30 00:00:00,2019/03/30 00:00:00,177,177.05968,,,,{F438AB73-EA8C-44C8-8903-B50885B4E238},5186.65566217497,1089950.5219041
5183,2019,CA,USF,ANF,5813745010602,CLEAR CREEK FS,14,2019/03/10 00:00:00,2019/03/10 00:00:00,6,5.8585868,,,,{D1F7DA67-7535-4B60-AF07-C085F3EB54C5},701.174361573837,34802.8779206375
5184,2019,CA,USF,ANF,5816003010602,GREEN VALLEY STATION,14,2019/03/05 00:00:00,2019/03/05 00:00:00,69,27.421698,,,,{A8820D67-61A4-48ED-9826-9604081A5705},1900.58297155482,164308.20542608
5185,2019,CA,USF,ANF,5815994010602,LOS ALAMOS STATION,14,2019/03/04 00:00:00,2019/03/04 00:00:00,46,5.0379739,,,,{3FBF8A0E-B247-4FBE-993A-EA8C6945452D},671.302627760276,30237.1867540311
5186,2019,CA,USF,ANF,5815902010602,BEAR CAMP,14,2019/03/26 00:00:00,2019/03/26 00:00:00,105,7.9777303,,,,{09E87896-ED04-4CCC-8559-024632BA014B},1453.93919908854,47892.2864260436
5187,2019,CA,USF,ANF,5852741010602,CHARLTON/CHILAO,3,2019/06/03 00:00:00,2019/06/03 00:00:00,3482,51.44696,,,,{37296C1E-C28E-4345-A8C4-C96E31D1ACF1},3710.22335689173,306246.31047966
