California, Climate Division 1, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199708,0.99,0.72
199709,1.49,0.62
199710,3.82,0.82
199711,8.91,2.25
199712,5.15,-3.32
199801,18.24,9.10
199802,18.90,11.15
199803,8.98,2.75
199804,3.49,0.14
199805,5.33,3.40
199806,0.96,0.14
199807,0.16,-0.04
199808,0.01,-0.26
199809,0.40,-0.47
199810,2.40,-0.60
199811,14.27,7.61
199812,4.68,-3.79
199901,6.93,-2.21
199902,14.97,7.22
199903,7.01,0.78
199904,2.51,-0.84
199905,0.83,-1.10
199906,0.13,-0.69
199907,0.02,-0.18
199908,0.47,0.20
199909,0.03,-0.84
199910,2.46,-0.54
199911,7.37,0.71
199912,2.82,-5.65
200001,11.96,2.82
200002,12.21,4.46
200003,3.29,-2.94
200004,3.72,0.37
200005,2.22,0.29
200006,0.55,-0.27
200007,0.19,-0.01
200008,0.06,-0.21
200009,0.61,-0.26
200010,4.03,1.03
200011,2.59,-4.07
200012,2.74,-5.73
200101,5.07,-4.07
200102,6.53,-1.22
200103,3.80,-2.43
200104,2.31,-1.04
200105,0.65,-1.28
200106,0.97,0.15
200107,0.29,0.09
200108,0.10,-0.17
200109,0.79,-0.08
200110,1.52,-1.48
200111,11.47,4.81
200112,13.25,4.78
200201,6.95,-2.19
200202,5.03,-2.72
200203,3.64,-2.59
200204,2.16,-1.19
200205,1.11,-0.82
200206,0.21,-0.61
200207,0.06,-0.14
200208,0.01,-0.26
200209,0.09,-0.78
200210,0.03,-2.97
200211,5.67,-0.99
200212,23.98,15.51
200301,6.78,-2.36
200302,3.52,-4.23
200303,6.53,0.30
200304,10.34,6.99
200305,1.37,-0.56
200306,0.05,-0.77
200307,0.17,-0.03
200308,0.60,0.33
200309,0.38,-0.49
200310,0.17,-2.83
200311,5.97,-0.69
200312,14.52,6.05
200401,7.00,-2.14
200402,12.02,4.27
200403,2.66,-3.57
200404,2.02,-1.33
200405,1.10,-0.83
200406,0.18,-0.64
200407,0.10,-0.10
200408,0.24,-0.03
200409,0.26,-0.61
200410,5.71,2.71
200411,2.37,-4.29
200412,11.16,2.69
200501,6.21,-2.93
200502,3.39,-4.36
200503,7.58,1.35
200504,4.93,1.58
200505,6.11,4.18
200506,2.15,1.33
200507,0.06,-0.14
200508,0.01,-0.26
200509,0.14,-0.73
200510,1.67,-1.33
200511,8.20,1.54
200512,21.59,13.12
200601,11.52,2.38
200602,6.30,-1.45
200603,11.29,5.06
200604,6.36,3.01
200605,1.40,-0.53
200606,0.52,-0.30
200607,0.03,-0.17
200608,0.12,-0.15
200609,0.07,-0.80
200610,0.56,-2.44
200611,8.07,1.41
200612,9.94,1.47
200701,1.87,-7.27
200702,10.69,2.94
200703,1.80,-4.43
200704,2.98,-0.37
200705,0.91,-1.02
200706,0.33,-0.49
200707,0.51,0.31
200708,0.09,-0.18
200709,0.34,-0.53
200710,5.37,2.37
200711,2.22,-4.44
200712,8.29,-0.18
200801,13.90,4.76
200802,5.00,-2.75
200803,2.42,-3.81
200804,1.42,-1.93
200805,0.86,-1.07
200806,0.13,-0.69
200807,0.02,-0.18
200808,0.15,-0.12
200809,0.08,-0.79
200810,1.84,-1.16
200811,4.82,-1.84
200812,6.58,-1.89
200901,1.73,-7.41
200902,8.24,0.49
200903,5.45,-0.78
200904,0.96,-2.39
200905,3.54,1.61
200906,1.25,0.43
200907,0.05,-0.15
200908,0.26,-0.01
200909,0.23,-0.64
200910,3.73,0.73
200911,3.64,-3.02
200912,4.98,-3.49
201001,12.30,3.16
201002,5.97,-1.78
201003,5.80,-0.43
201004,8.21,4.86
201005,2.97,1.04
201006,1.32,0.50
201007,0.07,-0.13
201008,0.10,-0.17
201009,0.71,-0.16
201010,6.68,3.68
201011,5.51,-1.15
201012,12.91,4.44
201101,2.44,-6.70
201102,5.18,-2.57
201103,14.11,7.88
201104,3.34,-0.01
201105,2.70,0.77
201106,1.75,0.93
201107,0.26,0.06
201108,0.03,-0.24
201109,0.18,-0.69
201110,3.91,0.91
201111,4.12,-2.54
201112,1.60,-6.87
201201,8.63,-0.51
201202,3.14,-4.61
201203,12.99,6.76
201204,4.23,0.88
201205,0.62,-1.31
201206,1.03,0.21
201207,0.27,0.07
201208,0.04,-0.23
201209,0.01,-0.86
201210,2.67,-0.33
201211,9.53,2.87
201212,14.45,5.98
201301,2.34,-6.80
201302,1.25,-6.50
201303,3.30,-2.93
201304,2.19,-1.16
201305,1.47,-0.46
201306,0.99,0.17
201307,0.12,-0.08
201308,0.38,0.11
201309,2.48,1.61
201310,0.09,-2.91
201311,1.66,-5.00
201312,0.83,-7.64
201401,1.28,-7.86
201402,9.13,1.38
201403,8.77,2.54
201404,1.73,-1.62
201405,0.67,-1.26
201406,0.25,-0.57
201407,0.15,-0.05
201408,0.19,-0.08
201409,2.10,1.23
201410,4.60,1.60
201411,4.86,-1.80
201412,13.20,4.73
201501,1.50,-7.64
201502,8.17,0.42
201503,2.30,-3.93
201504,2.22,-1.13
201505,0.98,-0.95
201506,0.34,-0.48
201507,0.61,0.41
201508,0.25,-0.02
201509,0.65,-0.22
201510,0.75,-2.25
201511,3.26,-3.40
201512,15.71,7.24
201601,14.87,5.73
201602,3.01,-4.74
201603,12.12,5.89
201604,2.42,-0.93
201605,1.29,-0.64
201606,0.67,-0.15
201607,0.17,-0.03
201608,0.01,-0.26
201609,0.04,-0.83
201610,11.31,8.31
201611,6.21,-0.45
201612,8.85,0.38
201701,15.81,6.67
201702,15.86,8.11
201703,6.87,0.64
201704,6.30,2.95
201705,0.73,-1.20
201706,0.75,-0.07
201707,0.05,-0.15
201708,0.27,0.00
201709,0.56,-0.31
201710,1.18,-1.82
201711,7.81,1.15
201712,1.18,-7.29
201801,7.60,-1.54
201802,1.46,-6.29
201803,7.97,1.74
201804,5.48,2.13
201805,1.27,-0.66
201806,0.30,-0.52
201807,0.12,-0.08
201808,0.01,-0.26
201809,0.26,-0.61
201810,1.18,-1.82
201811,5.28,-1.38
201812,5.25,-3.22
201901,9.45,0.31
201902,17.21,9.46
201903,6.84,0.61
201904,3.55,0.20
201905,4.01,2.08
201906,0.06,-0.76
201907,0.01,-0.19
201908,0.49,0.22
201909,1.56,0.69
201910,0.92,-2.08
201911,1.94,-4.72
201912,9.01,0.54
202001,7.65,-1.49
202002,0.48,-7.27
202003,2.75,-3.48
202004,1.70,-1.65
202005,3.70,1.77
202006,0.44,-0.38
202007,0.16,-0.04
202008,0.29,0.02
202009,0.22,-0.65
202010,0.28,-2.72
202011,3.36,-3.30
202012,4.76,-3.71
202101,7.80,-1.34
